group,exp_name,model,arch,patch,lr,loss
A,GA_0000_T_baseline_p128_lr1e-04_L1,T,baseline,128,0.0001,L1
A,GA_0001_T_baseline_p128_lr1e-04_L1Perc,T,baseline,128,0.0001,L1+Perc
A,GA_0002_T_baseline_p128_lr1e-04_L1SSIM,T,baseline,128,0.0001,L1+SSIM
A,GA_0003_T_baseline_p128_lr1e-04_L1PercSSIMFreq,T,baseline,128,0.0001,L1+Perc+SSIM+Freq
A,GA_0004_T_baseline_p128_lr2e-04_L1,T,baseline,128,0.0002,L1
A,GA_0005_T_baseline_p128_lr2e-04_L1Perc,T,baseline,128,0.0002,L1+Perc
A,GA_0006_T_baseline_p128_lr2e-04_L1SSIM,T,baseline,128,0.0002,L1+SSIM
A,GA_0007_T_baseline_p128_lr2e-04_L1PercSSIMFreq,T,baseline,128,0.0002,L1+Perc+SSIM+Freq
A,GA_0008_T_baseline_p128_lr4e-04_L1,T,baseline,128,0.0004,L1
A,GA_0009_T_baseline_p128_lr4e-04_L1Perc,T,baseline,128,0.0004,L1+Perc
A,GA_0010_T_baseline_p128_lr4e-04_L1SSIM,T,baseline,128,0.0004,L1+SSIM
A,GA_0011_T_baseline_p128_lr4e-04_L1PercSSIMFreq,T,baseline,128,0.0004,L1+Perc+SSIM+Freq
A,GA_0012_T_baseline_p256_lr1e-04_L1,T,baseline,256,0.0001,L1
A,GA_0013_T_baseline_p256_lr1e-04_L1Perc,T,baseline,256,0.0001,L1+Perc
A,GA_0014_T_baseline_p256_lr1e-04_L1SSIM,T,baseline,256,0.0001,L1+SSIM
A,GA_0015_T_baseline_p256_lr1e-04_L1PercSSIMFreq,T,baseline,256,0.0001,L1+Perc+SSIM+Freq
A,GA_0016_T_baseline_p256_lr2e-04_L1,T,baseline,256,0.0002,L1
A,GA_0017_T_baseline_p256_lr2e-04_L1Perc,T,baseline,256,0.0002,L1+Perc
A,GA_0018_T_baseline_p256_lr2e-04_L1SSIM,T,baseline,256,0.0002,L1+SSIM
A,GA_0019_T_baseline_p256_lr2e-04_L1PercSSIMFreq,T,baseline,256,0.0002,L1+Perc+SSIM+Freq
A,GA_0020_T_baseline_p256_lr4e-04_L1,T,baseline,256,0.0004,L1
A,GA_0021_T_baseline_p256_lr4e-04_L1Perc,T,baseline,256,0.0004,L1+Perc
A,GA_0022_T_baseline_p256_lr4e-04_L1SSIM,T,baseline,256,0.0004,L1+SSIM
A,GA_0023_T_baseline_p256_lr4e-04_L1PercSSIMFreq,T,baseline,256,0.0004,L1+Perc+SSIM+Freq
A,GA_0024_S_baseline_p128_lr1e-04_L1,S,baseline,128,0.0001,L1
A,GA_0025_S_baseline_p128_lr1e-04_L1Perc,S,baseline,128,0.0001,L1+Perc
A,GA_0026_S_baseline_p128_lr1e-04_L1SSIM,S,baseline,128,0.0001,L1+SSIM
A,GA_0027_S_baseline_p128_lr1e-04_L1PercSSIMFreq,S,baseline,128,0.0001,L1+Perc+SSIM+Freq
A,GA_0028_S_baseline_p128_lr2e-04_L1,S,baseline,128,0.0002,L1
A,GA_0029_S_baseline_p128_lr2e-04_L1Perc,S,baseline,128,0.0002,L1+Perc
A,GA_0030_S_baseline_p128_lr2e-04_L1SSIM,S,baseline,128,0.0002,L1+SSIM
A,GA_0031_S_baseline_p128_lr2e-04_L1PercSSIMFreq,S,baseline,128,0.0002,L1+Perc+SSIM+Freq
A,GA_0032_S_baseline_p128_lr4e-04_L1,S,baseline,128,0.0004,L1
A,GA_0033_S_baseline_p128_lr4e-04_L1Perc,S,baseline,128,0.0004,L1+Perc
A,GA_0034_S_baseline_p128_lr4e-04_L1SSIM,S,baseline,128,0.0004,L1+SSIM
A,GA_0035_S_baseline_p128_lr4e-04_L1PercSSIMFreq,S,baseline,128,0.0004,L1+Perc+SSIM+Freq
A,GA_0036_S_baseline_p256_lr1e-04_L1,S,baseline,256,0.0001,L1
A,GA_0037_S_baseline_p256_lr1e-04_L1Perc,S,baseline,256,0.0001,L1+Perc
A,GA_0038_S_baseline_p256_lr1e-04_L1SSIM,S,baseline,256,0.0001,L1+SSIM
A,GA_0039_S_baseline_p256_lr1e-04_L1PercSSIMFreq,S,baseline,256,0.0001,L1+Perc+SSIM+Freq
A,GA_0040_S_baseline_p256_lr2e-04_L1,S,baseline,256,0.0002,L1
A,GA_0041_S_baseline_p256_lr2e-04_L1Perc,S,baseline,256,0.0002,L1+Perc
A,GA_0042_S_baseline_p256_lr2e-04_L1SSIM,S,baseline,256,0.0002,L1+SSIM
A,GA_0043_S_baseline_p256_lr2e-04_L1PercSSIMFreq,S,baseline,256,0.0002,L1+Perc+SSIM+Freq
A,GA_0044_S_baseline_p256_lr4e-04_L1,S,baseline,256,0.0004,L1
A,GA_0045_S_baseline_p256_lr4e-04_L1Perc,S,baseline,256,0.0004,L1+Perc
A,GA_0046_S_baseline_p256_lr4e-04_L1SSIM,S,baseline,256,0.0004,L1+SSIM
A,GA_0047_S_baseline_p256_lr4e-04_L1PercSSIMFreq,S,baseline,256,0.0004,L1+Perc+SSIM+Freq
A,GA_0048_B_baseline_p128_lr1e-04_L1,B,baseline,128,0.0001,L1
A,GA_0049_B_baseline_p128_lr1e-04_L1Perc,B,baseline,128,0.0001,L1+Perc
A,GA_0050_B_baseline_p128_lr1e-04_L1SSIM,B,baseline,128,0.0001,L1+SSIM
A,GA_0051_B_baseline_p128_lr1e-04_L1PercSSIMFreq,B,baseline,128,0.0001,L1+Perc+SSIM+Freq
A,GA_0052_B_baseline_p128_lr2e-04_L1,B,baseline,128,0.0002,L1
A,GA_0053_B_baseline_p128_lr2e-04_L1Perc,B,baseline,128,0.0002,L1+Perc
A,GA_0054_B_baseline_p128_lr2e-04_L1SSIM,B,baseline,128,0.0002,L1+SSIM
A,GA_0055_B_baseline_p128_lr2e-04_L1PercSSIMFreq,B,baseline,128,0.0002,L1+Perc+SSIM+Freq
A,GA_0056_B_baseline_p128_lr4e-04_L1,B,baseline,128,0.0004,L1
A,GA_0057_B_baseline_p128_lr4e-04_L1Perc,B,baseline,128,0.0004,L1+Perc
A,GA_0058_B_baseline_p128_lr4e-04_L1SSIM,B,baseline,128,0.0004,L1+SSIM
A,GA_0059_B_baseline_p128_lr4e-04_L1PercSSIMFreq,B,baseline,128,0.0004,L1+Perc+SSIM+Freq
A,GA_0060_B_baseline_p256_lr1e-04_L1,B,baseline,256,0.0001,L1
A,GA_0061_B_baseline_p256_lr1e-04_L1Perc,B,baseline,256,0.0001,L1+Perc
A,GA_0062_B_baseline_p256_lr1e-04_L1SSIM,B,baseline,256,0.0001,L1+SSIM
A,GA_0063_B_baseline_p256_lr1e-04_L1PercSSIMFreq,B,baseline,256,0.0001,L1+Perc+SSIM+Freq
A,GA_0064_B_baseline_p256_lr2e-04_L1,B,baseline,256,0.0002,L1
A,GA_0065_B_baseline_p256_lr2e-04_L1Perc,B,baseline,256,0.0002,L1+Perc
A,GA_0066_B_baseline_p256_lr2e-04_L1SSIM,B,baseline,256,0.0002,L1+SSIM
A,GA_0067_B_baseline_p256_lr2e-04_L1PercSSIMFreq,B,baseline,256,0.0002,L1+Perc+SSIM+Freq
A,GA_0068_B_baseline_p256_lr4e-04_L1,B,baseline,256,0.0004,L1
A,GA_0069_B_baseline_p256_lr4e-04_L1Perc,B,baseline,256,0.0004,L1+Perc
A,GA_0070_B_baseline_p256_lr4e-04_L1SSIM,B,baseline,256,0.0004,L1+SSIM
A,GA_0071_B_baseline_p256_lr4e-04_L1PercSSIMFreq,B,baseline,256,0.0004,L1+Perc+SSIM+Freq
A,GA_0072_L_baseline_p128_lr1e-04_L1,L,baseline,128,0.0001,L1
A,GA_0073_L_baseline_p128_lr1e-04_L1Perc,L,baseline,128,0.0001,L1+Perc
A,GA_0074_L_baseline_p128_lr1e-04_L1SSIM,L,baseline,128,0.0001,L1+SSIM
A,GA_0075_L_baseline_p128_lr1e-04_L1PercSSIMFreq,L,baseline,128,0.0001,L1+Perc+SSIM+Freq
A,GA_0076_L_baseline_p128_lr2e-04_L1,L,baseline,128,0.0002,L1
A,GA_0077_L_baseline_p128_lr2e-04_L1Perc,L,baseline,128,0.0002,L1+Perc
A,GA_0078_L_baseline_p128_lr2e-04_L1SSIM,L,baseline,128,0.0002,L1+SSIM
A,GA_0079_L_baseline_p128_lr2e-04_L1PercSSIMFreq,L,baseline,128,0.0002,L1+Perc+SSIM+Freq
A,GA_0080_L_baseline_p128_lr4e-04_L1,L,baseline,128,0.0004,L1
A,GA_0081_L_baseline_p128_lr4e-04_L1Perc,L,baseline,128,0.0004,L1+Perc
A,GA_0082_L_baseline_p128_lr4e-04_L1SSIM,L,baseline,128,0.0004,L1+SSIM
A,GA_0083_L_baseline_p128_lr4e-04_L1PercSSIMFreq,L,baseline,128,0.0004,L1+Perc+SSIM+Freq
B,GB_0084_T_freq_branch_p128_lr1e-04_L1,T,freq_branch,128,0.0001,L1
B,GB_0085_T_freq_branch_p128_lr1e-04_L1Perc,T,freq_branch,128,0.0001,L1+Perc
B,GB_0086_T_freq_branch_p128_lr1e-04_L1SSIM,T,freq_branch,128,0.0001,L1+SSIM
B,GB_0087_T_freq_branch_p128_lr1e-04_L1PercSSIMFreq,T,freq_branch,128,0.0001,L1+Perc+SSIM+Freq
B,GB_0088_T_freq_branch_p128_lr2e-04_L1,T,freq_branch,128,0.0002,L1
B,GB_0089_T_freq_branch_p128_lr2e-04_L1Perc,T,freq_branch,128,0.0002,L1+Perc
B,GB_0090_T_freq_branch_p128_lr2e-04_L1SSIM,T,freq_branch,128,0.0002,L1+SSIM
B,GB_0091_T_freq_branch_p128_lr2e-04_L1PercSSIMFreq,T,freq_branch,128,0.0002,L1+Perc+SSIM+Freq
B,GB_0092_T_freq_branch_p128_lr4e-04_L1,T,freq_branch,128,0.0004,L1
B,GB_0093_T_freq_branch_p128_lr4e-04_L1Perc,T,freq_branch,128,0.0004,L1+Perc
B,GB_0094_T_freq_branch_p128_lr4e-04_L1SSIM,T,freq_branch,128,0.0004,L1+SSIM
B,GB_0095_T_freq_branch_p128_lr4e-04_L1PercSSIMFreq,T,freq_branch,128,0.0004,L1+Perc+SSIM+Freq
B,GB_0096_T_freq_branch_p256_lr1e-04_L1,T,freq_branch,256,0.0001,L1
B,GB_0097_T_freq_branch_p256_lr1e-04_L1Perc,T,freq_branch,256,0.0001,L1+Perc
B,GB_0098_T_freq_branch_p256_lr1e-04_L1SSIM,T,freq_branch,256,0.0001,L1+SSIM
B,GB_0099_T_freq_branch_p256_lr1e-04_L1PercSSIMFreq,T,freq_branch,256,0.0001,L1+Perc+SSIM+Freq
B,GB_0100_T_freq_branch_p256_lr2e-04_L1,T,freq_branch,256,0.0002,L1
B,GB_0101_T_freq_branch_p256_lr2e-04_L1Perc,T,freq_branch,256,0.0002,L1+Perc
B,GB_0102_T_freq_branch_p256_lr2e-04_L1SSIM,T,freq_branch,256,0.0002,L1+SSIM
B,GB_0103_T_freq_branch_p256_lr2e-04_L1PercSSIMFreq,T,freq_branch,256,0.0002,L1+Perc+SSIM+Freq
B,GB_0104_T_freq_branch_p256_lr4e-04_L1,T,freq_branch,256,0.0004,L1
B,GB_0105_T_freq_branch_p256_lr4e-04_L1Perc,T,freq_branch,256,0.0004,L1+Perc
B,GB_0106_T_freq_branch_p256_lr4e-04_L1SSIM,T,freq_branch,256,0.0004,L1+SSIM
B,GB_0107_T_freq_branch_p256_lr4e-04_L1PercSSIMFreq,T,freq_branch,256,0.0004,L1+Perc+SSIM+Freq
B,GB_0108_S_freq_branch_p128_lr1e-04_L1,S,freq_branch,128,0.0001,L1
B,GB_0109_S_freq_branch_p128_lr1e-04_L1Perc,S,freq_branch,128,0.0001,L1+Perc
B,GB_0110_S_freq_branch_p128_lr1e-04_L1SSIM,S,freq_branch,128,0.0001,L1+SSIM
B,GB_0111_S_freq_branch_p128_lr1e-04_L1PercSSIMFreq,S,freq_branch,128,0.0001,L1+Perc+SSIM+Freq
B,GB_0112_S_freq_branch_p128_lr2e-04_L1,S,freq_branch,128,0.0002,L1
B,GB_0113_S_freq_branch_p128_lr2e-04_L1Perc,S,freq_branch,128,0.0002,L1+Perc
B,GB_0114_S_freq_branch_p128_lr2e-04_L1SSIM,S,freq_branch,128,0.0002,L1+SSIM
B,GB_0115_S_freq_branch_p128_lr2e-04_L1PercSSIMFreq,S,freq_branch,128,0.0002,L1+Perc+SSIM+Freq
B,GB_0116_S_freq_branch_p128_lr4e-04_L1,S,freq_branch,128,0.0004,L1
B,GB_0117_S_freq_branch_p128_lr4e-04_L1Perc,S,freq_branch,128,0.0004,L1+Perc
B,GB_0118_S_freq_branch_p128_lr4e-04_L1SSIM,S,freq_branch,128,0.0004,L1+SSIM
B,GB_0119_S_freq_branch_p128_lr4e-04_L1PercSSIMFreq,S,freq_branch,128,0.0004,L1+Perc+SSIM+Freq
B,GB_0120_S_freq_branch_p256_lr1e-04_L1,S,freq_branch,256,0.0001,L1
B,GB_0121_S_freq_branch_p256_lr1e-04_L1Perc,S,freq_branch,256,0.0001,L1+Perc
B,GB_0122_S_freq_branch_p256_lr1e-04_L1SSIM,S,freq_branch,256,0.0001,L1+SSIM
B,GB_0123_S_freq_branch_p256_lr1e-04_L1PercSSIMFreq,S,freq_branch,256,0.0001,L1+Perc+SSIM+Freq
B,GB_0124_S_freq_branch_p256_lr2e-04_L1,S,freq_branch,256,0.0002,L1
B,GB_0125_S_freq_branch_p256_lr2e-04_L1Perc,S,freq_branch,256,0.0002,L1+Perc
B,GB_0126_S_freq_branch_p256_lr2e-04_L1SSIM,S,freq_branch,256,0.0002,L1+SSIM
B,GB_0127_S_freq_branch_p256_lr2e-04_L1PercSSIMFreq,S,freq_branch,256,0.0002,L1+Perc+SSIM+Freq
B,GB_0128_S_freq_branch_p256_lr4e-04_L1,S,freq_branch,256,0.0004,L1
B,GB_0129_S_freq_branch_p256_lr4e-04_L1Perc,S,freq_branch,256,0.0004,L1+Perc
B,GB_0130_S_freq_branch_p256_lr4e-04_L1SSIM,S,freq_branch,256,0.0004,L1+SSIM
B,GB_0131_S_freq_branch_p256_lr4e-04_L1PercSSIMFreq,S,freq_branch,256,0.0004,L1+Perc+SSIM+Freq
B,GB_0132_B_freq_branch_p128_lr1e-04_L1,B,freq_branch,128,0.0001,L1
B,GB_0133_B_freq_branch_p128_lr1e-04_L1Perc,B,freq_branch,128,0.0001,L1+Perc
B,GB_0134_B_freq_branch_p128_lr1e-04_L1SSIM,B,freq_branch,128,0.0001,L1+SSIM
B,GB_0135_B_freq_branch_p128_lr1e-04_L1PercSSIMFreq,B,freq_branch,128,0.0001,L1+Perc+SSIM+Freq
B,GB_0136_B_freq_branch_p128_lr2e-04_L1,B,freq_branch,128,0.0002,L1
B,GB_0137_B_freq_branch_p128_lr2e-04_L1Perc,B,freq_branch,128,0.0002,L1+Perc
B,GB_0138_B_freq_branch_p128_lr2e-04_L1SSIM,B,freq_branch,128,0.0002,L1+SSIM
B,GB_0139_B_freq_branch_p128_lr2e-04_L1PercSSIMFreq,B,freq_branch,128,0.0002,L1+Perc+SSIM+Freq
B,GB_0140_B_freq_branch_p128_lr4e-04_L1,B,freq_branch,128,0.0004,L1
B,GB_0141_B_freq_branch_p128_lr4e-04_L1Perc,B,freq_branch,128,0.0004,L1+Perc
B,GB_0142_B_freq_branch_p128_lr4e-04_L1SSIM,B,freq_branch,128,0.0004,L1+SSIM
B,GB_0143_B_freq_branch_p128_lr4e-04_L1PercSSIMFreq,B,freq_branch,128,0.0004,L1+Perc+SSIM+Freq
B,GB_0144_B_freq_branch_p256_lr1e-04_L1,B,freq_branch,256,0.0001,L1
B,GB_0145_B_freq_branch_p256_lr1e-04_L1Perc,B,freq_branch,256,0.0001,L1+Perc
